gene_id	RNAclass
YAL063C	mRNA
YAL062W	mRNA
YAL061W	mRNA
YAR070C	mRNA
YAL065C	mRNA
YAL064W	mRNA
YAR071W	mRNA
YAL067C	mRNA
YAL066W	mRNA
YAL026C-A	mRNA
YAL064W-B	mRNA
YAL021C	mRNA
YAL020C	mRNA
YAL068C	mRNA
YAL034C-B	mRNA
YAR029W	mRNA
YAL060W	mRNA
YAL068W-A	mRNA
YAL018C	mRNA
YAL017W	mRNA
YAR027W	mRNA
YAR028W	mRNA
YAL019W	mRNA
YAR023C	mRNA
YAL058W	mRNA
YAL010C	mRNA
YAL063C-A	mRNA
YAL019W-A	mRNA
YAR066W	mRNA
YAR020C	mRNA
YAL012W	mRNA
YAR068W	mRNA
YAL011W	mRNA
YAR069C	mRNA
YAL059W	mRNA
YAL015C	mRNA
YAL014C	mRNA
YAL013W	mRNA
YAL016W	mRNA
YAL044W-A	mRNA
YAR064W	mRNA
YAL037C-A	mRNA
YAL037C-B	mRNA
YAR060C	mRNA
YAL051W	mRNA
YAL054C	mRNA
YAL053W	mRNA
YAL056W	mRNA
YAL055W	mRNA
YAR018C	mRNA
YAR019C	mRNA
YAL007C	mRNA
YAR014C	mRNA
YAL042C-A	mRNA
YAR015W	mRNA
YAL008W	mRNA
YAL009W	mRNA
YAL047W-A	mRNA
YAL047C	mRNA
YAR053W	mRNA
YAL046C	mRNA
YAL049C	mRNA
YAL001C	mRNA
YAL031W-A	mRNA
YAL048C	mRNA
YAL002W	mRNA
YAL067W-A	mRNA
YAR050W	mRNA
YAL005C	mRNA
YAL004W	mRNA
YAL003W	mRNA
YAL040C	mRNA
YAL043C	mRNA
YAL042W	mRNA
YAL041W	mRNA
YAL045C	mRNA
YAL044C	mRNA
YAL056C-A	mRNA
YAR007C	mRNA
YAR008W	mRNA
YAR002W	mRNA
YAR003W	mRNA
YAL034W-A	mRNA
YAR047C	mRNA
YAR002C-A	mRNA
YAL016C-B	mRNA
YAL016C-A	mRNA
YAL034C	mRNA
YAL033W	mRNA
YAR042W	mRNA
YAL036C	mRNA
YAL035W	mRNA
YAL039C	mRNA
YAL038W	mRNA
YAL037W	mRNA
YAR019W-A	mRNA
YAL059C-A	mRNA
YAL031C	mRNA
YAL030W	mRNA
YAL032C	mRNA
YAR033W	mRNA
YAR035C-A	mRNA
YAR035W	mRNA
YAL023C	mRNA
YAL022C	mRNA
YAR030C	mRNA
YAL069W	mRNA
YAL025C	mRNA
YAR031W	mRNA
YAL024C	mRNA
YAL064C-A	mRNA
YAL026C	mRNA
YAL029C	mRNA
YAL028W	mRNA
YAL027W	mRNA
YBR054W	mRNA
YBR187W	mRNA
YBR055C	mRNA
YBR140C	mRNA
YBR273C	mRNA
YBL071W-A	mRNA
YBR188C	mRNA
YBL047C	mRNA
YBL046W	mRNA
YBR141C	mRNA
YBR270C	mRNA
YBR053C	mRNA
YBL045C	mRNA
YBR271W	mRNA
YBR186W	mRNA
YBL044W	mRNA
YBR272C	mRNA
YBR010W	mRNA
YBR011C	mRNA
YBR084C-A	mRNA
YBL043W	mRNA
YBR059C	mRNA
YBR144C	mRNA
YBR277C	mRNA
YBR230C	mRNA
YBR012C	mRNA
YBL042C	mRNA
YBR056W	mRNA
YBR189W	mRNA
YBR274W	mRNA
YBL089W	mRNA
YBR275C	mRNA
YBL041W	mRNA
YBR057C	mRNA
YBR142W	mRNA
YBR143C	mRNA
YBR058C	mRNA
YBR276C	mRNA
YBR094W	mRNA
YBL007C	mRNA
YBR095C	mRNA
YBR180W	mRNA
YBR092C	mRNA
YBL005W	mRNA
YBL006C	mRNA
YBR093C	mRNA
YBL004W	mRNA
YBR233W-A	mRNA
YBR050C	mRNA
YBR183W	mRNA
YBR098W	mRNA
YBR099C	mRNA
YBR221W-A	mRNA
YBL002W	mRNA
YBR051W	mRNA
YBR184W	mRNA
YBR052C	mRNA
YBR185C	mRNA
YBL003C	mRNA
YBR181C	mRNA
YBR076C-A	mRNA
YBL049W	mRNA
YBR096W	mRNA
YBR182C	mRNA
YBL048W	mRNA
YBR097W	mRNA
YBL001C	mRNA
YBL090W	mRNA
YBR108W	mRNA
YBL091C	mRNA
YBR109C	mRNA
YBR230W-A	mRNA
YBR239C	mRNA
YBL100W-C	mRNA
YBR106W	mRNA
YBR107C	mRNA
YBL006W-A	mRNA
YBL009W	mRNA
YBL008W	mRNA
YBL052C	mRNA
YBR147W	mRNA
YBL099W	mRNA
YBR015C	mRNA
YBL051C	mRNA
YBR233W	mRNA
YBR148W	mRNA
YBL098W	mRNA
YBR234C	mRNA
YBR101C	mRNA
YBL050W	mRNA
YBR278W	mRNA
YBR145W	mRNA
YBR231C	mRNA
YBL097W	mRNA
YBR013C	mRNA
YBR146W	mRNA
YBR279W	mRNA
YBR072C-A	mRNA
YBL029C-A	mRNA
YBR014C	mRNA
YBR232C	mRNA
YBR103W	mRNA
YBL096C	mRNA
YBR019C	mRNA
YBL095W	mRNA
YBR104W	mRNA
YBR237W	mRNA
YBR238C	mRNA
YBR105C	mRNA
YBL094C	mRNA
YBR016W	mRNA
YBR149W	mRNA
YBR017C	mRNA
YBR102C	mRNA
YBL092W	mRNA
YBR235W	mRNA
YBL093C	mRNA
YBR018C	mRNA
YBR236C	mRNA
YBL011W	mRNA
YBR199W	mRNA
YBL059W	mRNA
YBR151W	mRNA
YBR284W	mRNA
YBL012C	mRNA
YBR067C	mRNA
YBR191W-A	mRNA
YBR285W	mRNA
YBL058W	mRNA
YBR152W	mRNA
YBR068C	mRNA
YBR085C-A	mRNA
YBR282W	mRNA
YBR064W	mRNA
YBL010C	mRNA
YBR065C	mRNA
YBR198C	mRNA
YBR283C	mRNA
YBL057C	mRNA
YBR150C	mRNA
YBR066C	mRNA
YBL056W	mRNA
YBR155W	mRNA
YBR022W	mRNA
YBR241C	mRNA
YBR023C	mRNA
YBR156C	mRNA
YBR255C-A	mRNA
YBL055C	mRNA
YBR200W-A	mRNA
YBR289W	mRNA
YBL054W	mRNA
YBR121C-A	mRNA
YBR157C	mRNA
YBR153W	mRNA
YBR286W	mRNA
YBR020W	mRNA
YBR154C	mRNA
YBL053W	mRNA
YBR069C	mRNA
YBR287W	mRNA
YBR021W	mRNA
YBR240C	mRNA
YBR288C	mRNA
YBL105C	mRNA
YBL019W	mRNA
YBR191W	mRNA
YBL104C	mRNA
YBR192W	mRNA
YBL018C	mRNA
YBL103C	mRNA
YBL102W	mRNA
YBL016W	mRNA
YBR190W	mRNA
YBL017C	mRNA
YBL101C	mRNA
YBR062C	mRNA
YBR280C	mRNA
YBL015W	mRNA
YBR126W-A	mRNA
YBR296C-A	mRNA
YBR063C	mRNA
YBR196C	mRNA
YBR281C	mRNA
YBL100C	mRNA
YBR126W-B	mRNA
YBR197C	mRNA
YBR193C	mRNA
YBR060C	mRNA
YBL013W	mRNA
YBL014C	mRNA
YBR061C	mRNA
YBR194W	mRNA
YBR195C	mRNA
YBL107W-A	mRNA
YBR119W	mRNA
YBR205W	mRNA
YBR202W	mRNA
YBR118W	mRNA
YBR203W	mRNA
YBL109W	mRNA
YBR204C	mRNA
YBR182C-A	mRNA
YBL108W	mRNA
YBR209W	mRNA
YBR206W	mRNA
YBL107C	mRNA
YBR207W	mRNA
YBR056C-B	mRNA
