logFC	logCPM	F	PValue	FDR	mrna
7.30454049595144	7.75892982731881	1688.35444920533	7.14369476919047e-18	6.48647485042495e-14	NUT1395
5.46267780141194	8.2448331906204	1360.91049352303	4.05636009644917e-17	1.69370561814311e-13	NUT1036
6.20023699087484	9.0720693274027	1285.90649201011	6.39975492725979e-17	1.69370561814311e-13	NUT0255
4.89775861219393	10.2884629180424	1261.59354826855	7.46125822970532e-17	1.69370561814311e-13	NUT0167
4.04097385692307	10.843864971485	1050.75433032349	3.23962034683584e-16	5.88315054985389e-13	NUT0490
4.50400885952398	11.4119174452063	984.059273377171	5.47995758163169e-16	8.29300247353595e-13	SUT786
4.73856417427977	8.62641532720077	939.975555101872	7.91023116891497e-16	1.02606998591068e-12	NUT1162
5.67230632141138	9.69968283850425	907.590330119489	1.04726643184557e-15	1.18864740014472e-12	NUT0275
4.18901516367136	9.92939868016829	883.375829401423	1.30018607262897e-15	1.31174328216345e-12	NUT0258
5.02730079883108	7.70867344711519	824.845722107118	2.24892166360564e-15	2.04202087055392e-12	NUT0805
2.96183477428958	6.99770853562771	795.681434070864	2.99786572277585e-15	2.4746018875277e-12	NUT0633
3.26419067280422	7.91656919531688	750.054229471441	4.80199286358878e-15	3.63350793344884e-12	NUT0544
3.82148026414188	8.79903813408194	725.63743928612	6.25150713801472e-15	4.36643729332105e-12	NUT0738
4.37973147294689	9.09099854559795	609.59732276642	2.49935164979717e-14	1.60941076479804e-11	NUT1169
7.2429057006812	7.21628542207621	604.86765815514	2.65871822378531e-14	1.60941076479804e-11	CUT585
6.57254206771229	7.91529733565305	590.920437468391	3.19921525701595e-14	1.76239127062697e-11	NUT0554
3.17288269016473	8.67487281945357	588.622013926101	3.2996312335527e-14	1.76239127062697e-11	NUT1237
2.96033063350877	8.46192780437131	576.365836619131	3.89861746200207e-14	1.95983074869834e-11	NUT0737
3.23669033699818	7.85130177051716	572.697419473799	4.10096742569036e-14	1.95983074869834e-11	NUT1178
4.50661562522288	6.90497224547001	556.129449636324	5.17458669272276e-14	2.34926235849613e-11	NUT0693
6.80464739800374	4.30548008902028	544.843099500453	6.08642107276561e-14	2.63165254003389e-11	CUT418
4.14980010707645	5.91711360964347	535.003812133414	7.03039195989788e-14	2.9016344998124e-11	CUT888
4.90528996101616	5.13653412868539	509.257578289151	1.03820133744616e-13	4.01836002061081e-11	NUT0287
7.65163695103329	9.54670624242932	510.179134546221	1.19429058646402e-13	4.01836002061081e-11	YLR154C-H
7.65164885805218	9.54674355454847	510.177685603264	1.19431718722332e-13	4.01836002061081e-11	YLR159C-A
7.65163534305826	9.54659389383778	510.151664870137	1.1947950083249e-13	4.01836002061081e-11	YLR157C-C
7.65165781609057	9.54676799972266	510.146668034052	1.19488679026973e-13	4.01836002061081e-11	YLR156C-A
7.21242851595174	6.86327209164793	494.125595553704	1.59644251501306e-13	5.17703501297091e-11	NUT0692
-2.40385880637371	7.74689588367956	479.752268109437	1.6627755450892e-13	5.20620756876205e-11	YMR173W-A
7.70112281022611	5.39393548312098	471.940174973356	1.89249851494115e-13	5.55027508024107e-11	CUT727
2.87261062733951	7.80639171593592	471.863674363008	1.89491770360653e-13	5.55027508024107e-11	NUT0459
8.46774140365504	5.61935773120314	465.143423500395	2.12163556745944e-13	6.02014092266617e-11	XUT_15F-18
2.69731024334881	9.53927360991549	451.847208380874	2.66583895934933e-13	7.33509628814906e-11	NUT0206
7.5836516222189	6.00090582611058	445.468496238848	2.98134704324288e-13	7.96195033901334e-11	NUT0382
2.62544686281871	8.41323236229249	420.802265407163	4.66457608522258e-13	1.21012431010917e-10	NUT1416
