logFC	unshrunk.logFC	logCPM	PValue	FDR	mrna
4.39792478408655	4.40057429885108	9.0720693274027	5.85516893091297e-15	2.61739732923901e-11	NUT0255
3.78244763911038	3.78268291338046	11.4119174452063	6.2770303436852e-15	2.61739732923901e-11	SUT786
9.01293454672536	9.02733186526146	9.54674355454847	1.7282743030878e-14	2.61739732923901e-11	YLR159C-A
9.01287814428304	9.02727546183902	9.54670624242932	1.72832715749493e-14	2.61739732923901e-11	YLR154C-H
9.01296632188841	9.02736364096713	9.54676799972266	1.72905857293031e-14	2.61739732923901e-11	YLR156C-A
9.01265302047548	9.02705033401705	9.54659389383778	1.7295577065456e-14	2.61739732923901e-11	YLR157C-C
3.2523015290371	3.25352786437757	7.85130177051716	5.00426660718197e-14	6.49124868474461e-11	NUT1178
4.05223336258615	4.05352019541326	9.69968283850425	8.58103375726478e-14	9.73947331449552e-11	NUT0275
3.79209101831093	3.79550236905592	7.70867344711519	1.34952621589917e-13	1.28098898008624e-10	NUT0805
3.28668518053117	3.28805161279873	8.62641532720077	1.41078081507296e-13	1.28098898008624e-10	NUT1162
8.47955978647636	8.78295521968754	5.61935773120314	2.26476573802301e-13	1.77305890431813e-10	XUT_15F-18
2.98396994056371	2.98646334101535	8.2448331906204	2.41309228346966e-13	1.77305890431813e-10	NUT1036
-2.66371157692494	-2.66466648200326	7.49044649820307	2.5385204577242e-13	1.77305890431813e-10	YCR041W
4.34020689900827	4.34701083442533	5.97945974140721	1.05358997098243e-12	6.83328352608605e-10	YKL209C
5.10442426783576	5.12300003739439	4.84206499034647	1.26796676138732e-12	7.67542546226459e-10	YMR013W-A
-2.27287521438756	-2.27344559223358	7.23213349238067	1.63503331910067e-12	9.27881408589632e-10	XUT_15R-116
3.23259848814281	3.24355028350928	7.75892982731881	2.27052434842061e-12	1.21272712256819e-09	NUT1395
4.64364316064793	4.66235575042722	5.49256917321005	5.76045022331045e-12	2.69728502030914e-09	CUT222
2.78143012176122	2.78412472359347	6.10214293891258	5.89938365566989e-12	2.69728502030914e-09	CUT3959
2.59467570204961	2.59650471257334	6.31336683199653	5.94115643239899e-12	2.69728502030914e-09	YOL155C
3.41124830446666	3.41495329938362	6.08372043904955	6.76254525701824e-12	2.92399575874884e-09	CUT4397
-8.24320153515683	-8.50475793904394	4.76557477992275	7.40229338912594e-12	3.05512836242107e-09	YPL187W
-2.4890573932711	-2.48973138273355	7.30051440855528	7.89522230021718e-12	3.11689645591183e-09	YCR088W
2.87146026889219	2.8722307021876	9.09099854559795	1.00908711666926e-11	3.81771292473203e-09	NUT1169
6.37716303951294	6.42753842193135	5.11414223966411	1.30138484246523e-11	4.72662974783371e-09	CUT221
3.05863953171559	3.06452033971082	5.36809528343135	1.61767319499689e-11	4.99355134230772e-09	CUT485
1.7752333606647	1.77630476920884	6.99770853562771	1.65421728988473e-11	4.99355134230772e-09	NUT0633
-1.779434714134	-1.7803412622814	6.43228659708036	1.73346539837383e-11	4.99355134230772e-09	YLR155C
-1.779434714134	-1.7803412622814	6.43228659708036	1.73346539837383e-11	4.99355134230772e-09	YLR160C
-1.77943471413531	-1.78034126228272	6.43228760778567	1.7336174680812e-11	4.99355134230772e-09	YLR158C
-1.77943471415441	-1.78034126230185	6.43230232879589	1.73419610904781e-11	4.99355134230772e-09	YLR157C
-10.6664404850662	-144269490.12548	4.53648799116495	1.80331544848624e-11	4.99355134230772e-09	YLR303W
2.10779528881143	2.10807780464167	8.91865553023612	1.81483694158761e-11	4.99355134230772e-09	XUT_13F-274
3.66342630336665	3.68281297852658	5.13653412868539	1.91668707939577e-11	5.11868196497459e-09	NUT0287
-1.89680887737644	-1.8980517127592	6.22097662766217	2.11169137137085e-11	5.47833075772779e-09	NUT0951
4.49863188935803	4.51030495171632	5.30485584492542	2.43861194750211e-11	6.15072124536644e-09	YNL017C
-10.2238379180323	-13.1243488707188	4.18474090974412	2.82914301920734e-11	6.94286989578451e-09	NUT0386
7.67538355586514	7.85928077071832	4.99039698902113	3.64764180295182e-11	8.71594409757961e-09	XUT_3F-6
2.91876593011705	2.92276457867859	6.90497224547001	4.48468379330912e-11	1.04412638059607e-08	NUT0693
2.62522779621137	2.62641818759802	7.57229493789198	4.71119437585773e-11	1.0694411233197e-08	NUT0349
-2.84751185180316	-2.84816687354185	7.50405540223421	6.11359043243494e-11	1.35393661284169e-08	YCL030C
4.43800944290725	4.45798607447084	7.21628542207621	6.64806159438822e-11	1.42955757858364e-08	CUT585
5.6435234713163	5.64837811323206	7.72572132120884	7.03676873874056e-11	1.42955757858364e-08	SUT030
4.82081107372877	4.8335064303438	5.40767140262079	7.24023680045003e-11	1.42955757858364e-08	YDR545W
4.82095071632463	4.83364611647875	5.40774312829078	7.24222270278058e-11	1.42955757858364e-08	YLR467W
4.82099728044013	4.83369269526572	5.4077665584627	7.24225205009332e-11	1.42955757858364e-08	YOR396W
6.71328682899107	6.85153739257191	5.36241461473158	8.51756598374651e-11	1.64552125813656e-08	CUT223
-2.54173663174422	-2.54272160600918	6.68915820177356	9.23328710750347e-11	1.74663014450274e-08	NUT0070
4.28716836046029	4.32504202526944	4.62239161692908	1.09960780399354e-10	2.03764058372681e-08	NUT0942
1.96728487594761	1.96756495648399	8.83666401964038	1.50135696070703e-10	2.72646424064396e-08	NUT0661
-1.71672674951098	-1.71685550722402	9.08530213003553	1.59601266913361e-10	2.84152843837905e-08	NUT0417
5.52504859639559	5.57828433274413	4.21292002228504	1.6992515842318e-10	2.96715468938938e-08	XUT_3F-5
1.83194201692547	1.83233189489953	8.67487281945357	1.90169581528773e-10	3.21126092310288e-08	NUT1237
1.82976508377247	1.830134821987	8.41323236229249	1.90978072519334e-10	3.21126092310288e-08	NUT1416
1.76830104438825	1.76952296861422	6.38386436374213	2.38780311139136e-10	3.942045863897e-08	YJR046W
2.91633943857978	2.93295990677626	3.69868235591148	2.50446448207249e-10	4.06081026736039e-08	CUT749
5.44665793487789	5.55097854041012	5.39393548312097	2.57110888917209e-10	4.09573135327765e-08	CUT727
6.25001975249355	6.34888420764066	4.51161537872335	2.6392436308171e-10	4.1317814082447e-08	CUT433
2.76399988702766	2.77000006311185	4.72886518031867	2.95956428249125e-10	4.51260816401872e-08	NUT1336
2.31094011155639	2.31239302589943	7.36347049333611	2.98189966785378e-10	4.51260816401872e-08	NUT1124
3.36486301722931	3.37306247790287	6.17701077661731	3.13179614664367e-10	4.66175557565976e-08	NUT1173
4.53417332877296	4.55787767835938	6.86327209164792	3.23513202366279e-10	4.73790302820292e-08	NUT0692
4.08771184487394	4.09724412806169	6.74558761424398	3.69374388216612e-10	5.32368165874101e-08	YMR194C-B
2.5932334048087	2.59439438165377	6.95759684318436	4.07767764944146e-10	5.78520516514507e-08	XUT_9F-4
3.78414974793174	3.7954012968928	5.71295491004428	4.55235109798038e-10	6.35928430302491e-08	CUT677
9.64282053343785	29.1593854384495	4.21715670852686	4.90149665666703e-10	6.68993115515813e-08	SUT508
6.06031050315701	6.13355278758868	4.68273879860493	4.93640294488541e-10	6.68993115515813e-08	NUT1287
3.16731907195376	3.18202489366581	4.37464985730753	5.0339700983779e-10	6.72183066077519e-08	YCR064C
3.28343649100867	3.28945326906006	7.91529733565305	6.23370504920558e-10	8.20319447054879e-08	NUT0554
3.25667335151201	3.26585102828171	4.38182936399901	6.59023970137552e-10	8.54848235549853e-08	CUT509
-1.87556650724468	-1.87671517672997	6.30173245170994	6.83771035435698e-10	8.62441884287457e-08	YCR096C
11.3575765175821	144269490.816955	5.30432493696999	6.83874621901948e-10	8.62441884287457e-08	XUT_3F-130
2.07313939377383	2.07456323550806	7.30946373166966	8.07871899956367e-10	1.00485984268545e-07	NUT1387
3.8483692058518	3.85888295177684	4.94427002482518	8.41754801137895e-10	1.03285589112596e-07	YDR340W
1.58365504537078	1.58399323148883	7.84001293982499	8.89090401690578e-10	1.07639211298006e-07	YLR399C
-1.63979681875356	-1.64031810855714	6.80729137579689	9.29122305320185e-10	1.1100566489878e-07	YMR062C
2.03520539982481	2.0377274586342	5.75019973173288	9.80461456398298e-10	1.15618052260994e-07	NUT0218
9.02194877704556	144269488.479096	3.51119113173725	1.01372509820468e-09	1.1800799861152e-07	CUT882
2.2342738326065	2.23579941587276	6.17106206356062	1.04726906183546e-09	1.20369659259062e-07	CUT3045
4.57910901607667	4.67782722828987	4.15813025687373	1.06714616269713e-09	1.21121089466124e-07	NUT1051
-1.20024576006387	-1.20043069393805	7.8376617024685	1.16919641027592e-09	1.31065474139573e-07	YPL218W
1.87856348014632	1.87903048435211	7.98767799326329	1.31164819682992e-09	1.45241044234337e-07	NUT0903
5.62053474229041	5.75088058642889	3.37910016550964	1.34276036803795e-09	1.468947486962e-07	CUT153
-1.7328105085822	-1.73340645618112	6.87739298328716	1.41648181698713e-09	1.53114939264799e-07	YCR036W
9.29212030875702	144269488.749742	4.63245267683093	1.44164782167566e-09	1.54001908480176e-07	CUT243
8.7879555916747	8.99353323941596	6.01546938887948	1.57265650732803e-09	1.66043268448123e-07	YNL145W
2.20519913179445	2.20726746125397	6.07886298228211	1.7309552802051e-09	1.80253694952521e-07	YHR156C
-1.95783470451218	-1.95802159550025	8.66838959937097	1.74695210967201e-09	1.80253694952521e-07	NUT1219
4.92571984364102	5.03648065914673	4.76681201526941	1.78787585916174e-09	1.82392467097641e-07	CUT617
1.4621597599282	1.46227755154312	10.843864971485	1.80785485008675e-09	1.82392467097641e-07	NUT0490
1.62999461894493	1.63057362208485	7.80639171593592	1.85080629007169e-09	1.84673858393966e-07	NUT0459
8.86650403070629	144269488.323341	5.76317767106873	1.92529370722135e-09	1.88686174185641e-07	XUT_2F-118
5.1054304678372	5.17975481475676	3.29651550585629	1.93257865630667e-09	1.88686174185641e-07	YLR157W-E
2.91392262797024	2.91807635705296	6.15245285295353	1.96036309953935e-09	1.89362733444865e-07	YHR213W-A
1.62114131885029	1.62140420201457	9.92939868016829	1.98476323648669e-09	1.89701580918938e-07	NUT0258
2.67171253033436	2.67590581630913	6.12429851274961	2.08717266994944e-09	1.97411748366052e-07	XUT_14R-250
1.54387825763725	1.54516245781809	6.25078122331371	2.44754048402789e-09	2.2910997520591e-07	NUT1363
