gene	Class
YMR056C	IV
YNL331C	V
YFL056C	VIII
YBL074C	VII
YKL106W	IV
YLR027C	X
YMR072W	VII
YJR108W	III
YCR088W	X
YOR239W	IX
YGR037C	VI
YNR016C	X
YLR131C	VI
YJR083C	V
YBL015W	X
YPL267W	VIII
ACN9	II
YLR304C	X
YJL200C	IV
YKL192C	VI
YLR153C	X
YFL039C	X
YDR448W	VII
YAR015W	IX
YNL220W	IV
YLR359W	X
YMR120C	X
YOR128C	VII
YGR204W	X
ADE5-7	X
YGR061C	X
YDR408C	X
YCL058W-A	V
YOL086C	X
YMR303C	X
YBR145W	IV
YMR318C	X
YMR009W	VII
YDR226W	X
YER170W	IV
YJR105W	X
YDR216W	IX
YLR227C	V
YMR282C	IX
YPL005W	VIII
YEL052W	IX
YLR397C	IX
YER017C	IX
YDR085C	VIII
YGL071W	VI
YPL202C	VII
YGL032C	IV
YCL025C	IV
YBR132C	IX
YFL055W	II
YOR023C	VIII
YCR082W	IX
YLR109W	X
YHR093W	III
Q0050	IX
Q0055	IX
Q0060	IX
Q0065	IX
Q0070	IX
YNR074C	VIII
YAL046C	IX
YER087W	IX
YER093C-A	V
YHL021C	IV
YHR198C	IX
YAL049C	X
YIL158W	VIII
YJL131C	VI
YJR080C	IX
YKR074W	IV
YBR108W	VIII
AIM31	VII
YML087C	X
AIM37	IX
YOR215C	IX
YPR004C	VIII
YHR199C	IX
AIM5	VII
YDR063W	VI
YIL079C	IV
YDL175C	III
YBR059C	VIII
YDR264C	VII
YOR335C	X
YJL122W	VI
YMR169C	III
YOR374W	X
YER073W	IV
YPL061W	X
YOR175C	X
YBR110W	VIII
YNR030W	VIII
YGL047W	IV
YBR070C	VI
YBL082C	IX
YOR002W	IX
YOR067C	IX
YNL219C	IX
YGL021W	VIII
YBL009W	IX
YFL050C	VII
YLR089C	IV
YDR111C	IX
YKR021W	VIII
YML035C	X
YDR242W	III
YBR211C	VIII
YBR158W	VI
YJR047C	IV
YEL036C	VIII
YCL050C	X
YDR530C	VII
YNL172W	X
YLR127C	VI
YOR249C	V
YBR151W	IX
YKL157W	X
YBR286W	X
YJR005W	VI
YKL135C	VIII
YPR029C	VIII
YPL195W	VIII
YPL259C	IX
YHL019C	VIII
YIL040W	IX
YLR170C	V
YML022W	X
YDR441C	IV
YNL065W	IV
YBR149W	X
YER036C	X
YGL105W	X
YIL062C	VIII
YLR370C	VI
YHR013C	VI
YCR048W	X
YDL192W	X
YDL137W	VI
YOR094W	VII
YOL058W	IV
YJL071W	IX
YJL088W	IV
YHR018C	IV
ARG5-6	IV
YOL140W	IX
YMR042W	VIII
YML099C	VIII
YDR173C	II
YGL157W	IV
YBR164C	IX
YHL040C	II
YHL047C	IV
YDR127W	X
YGL148W	X
YDR035W	X
YBR249C	IV
YPR060C	VI
YHR137W	II
YDR106W	II
YDL029W	IX
YJR065C	IX
YLR085C	VIII
YPR034W	VIII
YOR141C	VI
YMR033W	VI
YLR392C	IV
YMR116C	X
YOR058C	VI
YJL115W	VII
YDL197C	IV
YIL130W	VI
YMR119W	I
YNL008C	VIII
YKL052C	VIII
YGR097W	IV
YDL088C	IX
YPR145W	VIII
YGR124W	X
YDR321W	X
YLR157C	X
YLR158C	X
YLR160C	X
YPR093C	I
YBL069W	VIII
YER101C	IV
YDR184C	VI
YGL017W	VII
YOR377W	VIII
YGR177C	II
YLL042C	II
YBR128C	VII
YCR068W	VII
YFR021W	VI
YOL082W	II
YNL242W	VI
YDL113C	IX
YCL038C	VIII
YLR431C	II
YLR189C	IX
YJL178C	VII
YPL166W	IX
YIL146C	IX
YPL149W	VIII
YDR384C	IX
YBL099W	X
YLR295C	VII
YPL271W	V
YDL004W	X
YDR377W	IX
YML081C-A	V
YOL077W-A	V
YJR121W	X
YNR020C	IX
YMR098C	IV
YBR039W	IX
YPL078C	VIII
Q0085	IX
YKL004W	X
YJR001W	IV
YEL064C	IX
YBL089W	IV
YER119C	VIII
YIL088C	VIII
YOR134W	II
YBR068C	IV
YDR046C	IV
YIL015W	IX
YKR099W	IX
YJR148W	IV
YPL255W	VIII
YMR237W	X
YKR027W	V
YJL095W	IX
YER167W	IX
YDR361C	VI
YDR375C	IX
YIL033C	VIII
YDL070W	V
YAL060W	IV
YAL061W	II
YNL039W	IX
YER155C	IX
YPL115C	VIII
YPL161C	VI
YIL004C	VI
YKR068C	VI
YML077W	IV
YJR053W	VII
YOR198C	VIII
YDR299W	VI
YGR282C	X
YHR101C	III
YER016W	VIII
YGR286C	IV
YNR057C	II
YJR089W	V
YBR270C	IV
YKL061W	VII
YFL007W	X
YLR408C	V
YER177W	X
YDR099W	IV
YPL217C	VIII
YLR231C	IV
YFR047C	VIII
YDR428C	IX
YNL271C	VI
YNL233W	VI
YIL159W	VI
YBL085W	VI
YLR267W	II
YNL042W	IV
YLR078C	VII
YCR032W	VIII
YDL141W	VIII
YDL074C	VI
YLR015W	VIII
YNR051C	VI
YGR246C	VIII
YHR036W	IV
YBL097W	VIII
YPL084W	VIII
YGL007W	I
YPR057W	VI
YER172C	VI
YGL247W	III
YOL077C	VI
YDL037C	VIII
YDR275W	IV
YLR465C	II
YNR069C	IV
