UniqueCount	AmbigCount
0	56
285	16
0	8
0	8
0	0
0	1
0	0
0	0
0	8
0	4
14	0
0	0
136	29
0	2
33	0
48	1
0	0
180	0
0	0
0	26
1	14
0	2
0	1
0	35
2	0
62	3
15	0
0	0
14	3
0	43
0	1
0	47
0	2
297	0
0	95
0	2
4	0
6	0
23	20
12	0
8	0
0	1
0	2
33	0
0	0
237	0
0	0
17	10
78	7
0	4
0	77
26	73
2	209
27	29
0	51
0	2
0	18
9	6
19	60
0	11
15	4
138	3
64	6
0	0
1	3
11	0
287	625
0	0
22	6
1	2
111	0
88	0
0	0
0	50
0	0
118	1093
163	0
0	0
0	23
30	158
72	17
24	10
38	196
169	0
0	0
177	0
101	47
0	6
1	0
0	0
47	0
54	0
0	0
42	0
2	9
1	10
301	0
5	3
42	12
8	2
0	7
110	0
0	7
0	0
0	0
63	0
18	103
307	2451
0	468
0	3
0	31
977	0
0	0
5	0
0	34
0	41
43	0
48	0
60	0
0	0
173	0
0	6
0	47
86	136
33	199
0	6
0	318
442	395
1	4
4	189
36	6
751	0
1	0
0	160
1	7
36	20
98	0
72	0
111	0
35	0
60	0
0	10
0	12
0	220
134	0
3	3
46	0
69	0
248	0
326	0
1995	0
0	14
3	625
3	3
0	0
0	2
0	47
0	73
0	17
0	14
14	12
377	0
16	0
0	1
12	0
13	1
1	215
11	8
217	0
0	3
0	18
93	35
0	158
231	220
1	38
2	4
85	0
0	0
0	54
0	0
196	0
0	19
85	0
0	2
66	29
0	4
1	0
0	34
239	0
11	4
6	3
9	0
1	6
19	0
0	10
131	0
128	0
253	0
90	0
0	50
55	0
222	0
0	2
0	5
29	14
63	0
4	20
31	0
0	23
3	10
0	6
0	10
0	24
0	21
0	17
567	860
69	0
66	0
48	0
2	133
110	732
0	0
14	0
0	13
11	0
79	0
16	138
0	0
1039	269
1	0
148	0
0	2
3	30
23	21
0	8
67	0
12	0
0	30
115	0
0	92
1934	1
85	14
68	0
491	117
49	0
263	0
0	13
0	103
154	0
0	0
74	0
17	71
0	28
8	1
341	0
583	0
54	16
128	0
40	0
673	2
175	0
5	7
0	52
12	84
49	2
0	12
447	0
5	0
0	6
30	0
30	39
0	39
3	0
155	0
0	7
17	4
310	191
39	0
89	2
1100	375
0	13
0	0
104	0
0	3
6	111
37	24
702	0
0	21
28	8
0	2
0	224
0	12
130	0
16	0
0	30
21	0
0	2
199	0
0	2
0	2
0	2
51	0
119	0
0	374
4	0
230	126
17	0
97	9
830	0
72	0
45	5
80	0
27	1
13	18
16	0
199	0
215	0
56	2
94	30
0	21
24	7
0	152
9	0
5	17
177	0
2	0
0	25
92	0
6	1
0	51
6	0
4	1
0	1
0	1
2	18
55	0
179	0
31	0
29	0
0	9
15	18
0	103
0	50
87	117
0	47
1693	0
64	7
84	0
0	9
0	0
0	3
110	1
0	9
18	78
144	1
19	0
92	0
0	7
5	17
71	0
6	0
13	1
0	39
1	0
0	0
0	16
0	7
0	3
104	0
0	50
245	0
29	0
66	19
0	2
0	6
64	0
7	6
19	0
51	0
0	103
0	350
5	0
137	0
15	41
34	6
0	1
21	1
2	6
4	1
0	31
275	9
0	66
165	0
0	133
37	2
28	0
121	0
51	12
65	0
40	0
2	0
86	0
0	7
44	0
0	0
0	5
0	0
9	0
242	0
0	0
341	0
74	126
0	117
0	121
112	0
0	12
0	2
67	0
197	0
0	13
12	20
589	3
124	0
0	1
71	0
40	0
62	0
1	19
8	0
2	0
225	0
78	0
0	41
13	0
31	0
39	62
0	0
11	12
425	0
45	0
469	0
59	62
0	4
31	0
44	21
2	0
49	0
5	0
9	0
19	2
40	107
46	0
9	5
0	16
0	0
45	6
0	24
202	36
63	17
54	155
4	16
49	0
0	154
0	10
18	0
6	15592
7	1
0	0
7	0
0	0
7	1
0	17
2	0
0	0
0	0
239	137
3	0
61	6
0	732
233	115
0	73
103	0
51	0
0	0
0	8
31	15
0	0
0	0
41	36
0	9
0	18
0	17
96	0
20	0
18	0
92	0
374	0
67	0
60	5
9	283
24	0
0	188
29	110
39	12
100	8
777	0
90	0
152	0
485	71
145	0
96	110
76	0
0	56
0	82
80	0
324	0
32	19
0	83
5	39
1	0
0	69
0	1
15	177
25	0
15	26
0	7
1	7
18	0
0	6
87	0
95	0
18	8
0	28
0	679
423	0
0	12
106	0
4	0
0	0
0	133
226	0
11	43
44	0
127	0
312	35
59	13
6	0
690	80
8	0
493	0
29	0
0	82
0	11
0	19
0	14
183	0
4	0
0	6
1	5
107	0
2	0
14	71
3	18
0	4
201	10
63	0
0	54
0	1
4	2
4	123
2	18
150	50
0	51
108	0
2	284
206	111
3	29
0	24
50	67
30	13
0	110
0	32
270	0
0	22
1	20
22	43
0	67
