UniqueCount	AmbigCount
8	185
337	18
0	18
0	87
0	12
0	4
0	3
0	2
0	25
0	76
15	0
3	0
132	42
0	11
51	0
93	2
0	1
220	0
0	3
0	95
6	66
0	31
0	2
0	215
3	0
88	2
51	0
0	3
37	20
0	114
0	11
0	103
0	64
490	0
0	189
0	0
11	0
12	0
42	27
31	3
8	0
1	2
0	19
47	0
2	0
338	0
0	5
7	32
118	11
0	10
0	123
75	164
17	269
28	30
0	114
0	25
0	31
25	22
13	73
0	46
33	0
135	3
71	18
0	15
3	12
16	0
154	586
0	10
42	5
1	53
127	0
96	2
0	3
0	80
21	0
198	1707
182	0
0	5
0	29
46	143
92	24
59	20
52	177
211	0
6	1
208	0
78	17
0	59
0	1
0	0
76	0
94	0
0	2
36	0
14	56
3	15
322	0
11	14
46	22
6	10
0	11
150	0
0	69
12	0
0	2
158	0
22	205
293	3793
0	778
0	11
0	160
1394	0
0	1
4	0
0	317
0	71
100	0
205	0
62	1
5	3
223	0
3	18
0	17
102	276
237	2162
0	56
0	1563
500	1687
11	22
9	215
59	59
1290	0
16	33
0	316
4	112
49	27
141	0
85	0
150	0
58	0
81	0
0	32
0	16
0	199
188	0
2	3
53	0
89	0
577	0
479	0
2566	0
0	50
16	586
3	14
1	0
0	11
0	72
0	164
0	103
0	47
22	24
378	0
24	0
0	16
30	0
17	4
7	414
56	34
267	0
0	101
0	120
466	215
4	172
259	199
0	395
36	27
125	0
0	2
0	125
6	0
352	0
0	54
126	0
0	0
77	42
0	0
5	0
0	51
356	0
37	22
7	2
23	0
29	97
31	0
0	33
100	0
250	0
461	6
82	0
0	87
62	0
249	0
0	6
0	30
25	55
58	0
20	52
89	1
0	169
23	32
0	3
0	42
0	44
0	77
0	46
784	1472
65	0
29	0
80	0
10	313
184	3784
0	0
27	0
0	24
21	0
69	2
28	183
9	0
948	272
23	0
140	0
2	10
14	74
92	53
0	42
156	0
42	0
0	121
380	0
0	90
1808	10
173	30
106	0
526	123
84	0
385	0
0	32
0	164
250	0
1	0
89	0
30	169
1	123
62	16
618	0
653	0
108	31
188	0
51	0
659	2
217	0
8	8
0	70
27	169
45	3
0	18
931	0
10	0
0	71
217	0
50	101
0	101
4	0
69	0
0	29
32	14
278	188
19	0
1023	159
1084	356
0	27
0	3
131	0
0	8
6	102
43	45
709	0
0	16
62	10
0	5
0	175
0	7
145	0
45	0
0	72
43	0
0	2
234	0
0	8
0	14
0	3
44	3
149	0
0	434
18	0
327	136
15	0
69	2
616	0
91	0
40	9
65	0
43	8
12	226
29	0
221	0
363	0
72	1
104	74
0	11
73	113
0	322
17	0
8	23
279	0
13	0
0	25
104	0
25	8
0	123
18	3
5	7
0	16
9	13
12	38
69	0
372	0
52	0
70	0
0	56
14	35
0	107
0	67
127	180
0	101
1268	0
89	27
138	0
0	33
1	0
0	21
96	5
7	24
38	127
343	10
38	0
94	0
0	8
26	27
81	0
21	6
71	10
0	193
0	0
7	0
0	31
0	26
0	10
138	0
0	176
485	0
43	0
103	19
0	2
0	13
61	0
8	9
54	0
117	0
0	273
0	632
6	0
173	0
59	126
88	21
3	47
53	4
3	24
11	8
0	63
239	15
0	193
292	0
0	313
47	2
58	0
156	0
87	7
250	0
64	0
0	0
110	0
0	8
78	0
0	1
0	13
0	6
22	0
344	0
0	6
400	0
89	136
0	388
0	113
125	0
0	28
0	24
108	0
349	0
0	15
15	36
691	2
218	0
0	11
84	0
58	0
95	0
5	19
47	0
1	0
385	0
168	0
0	115
65	0
39	0
37	56
0	1
18	18
476	0
68	0
479	0
69	56
0	30
55	0
49	17
12	0
75	0
22	0
27	0
29	1
38	84
103	0
20	42
0	70
0	59
64	9
0	44
211	44
92	46
69	325
29	64
64	0
0	114
0	651
9	0
4	16553
14	4
9	10
15	0
0	6
1	1
0	14
4	0
0	13
0	0
278	256
13	0
69	9
0	3782
750	382
0	114
173	0
67	0
0	5
0	19
29	26
0	22
0	1
86	63
0	124
0	312
0	38
132	0
28	0
55	0
103	0
512	0
73	0
70	2
29	381
27	0
0	226
27	183
53	18
78	11
1466	0
89	0
146	0
391	66
95	0
221	183
114	0
0	59
0	88
102	0
560	0
94	47
0	75
5	50
24	0
7	395
0	0
24	312
30	0
22	62
0	29
22	41
40	0
0	61
106	0
116	0
51	26
0	44
0	877
555	0
0	41
298	0
346	0
0	0
0	162
116	0
15	89
89	0
81	0
370	52
60	24
15	0
639	83
26	0
768	0
79	0
0	243
0	22
0	54
0	147
128	0
9	0
0	66
29	305
158	0
5	0
54	169
11	58
0	14
191	23
76	0
0	262
0	42
55	66
39	116
12	226
217	176
0	32
75	0
12	377
267	437
0	438
0	45
64	134
47	35
0	113
0	146
342	0
0	20
2	62
61	93
14	497
100	214
109	31
1194	1
127	247
176	642
13	133
450	66
60	0
0	550
27	36
32	0
0	146
65	0
0	104
0	322
0	8
25	0
13	17
6	0
63	0
0	2
0	0
0	43
0	57
110	62
0	313
0	22
42	0
266	0
0	98
0	113
41	10
0	7
0	52
2	0
0	9
43	195
123	47
0	38
66	26
1	8
532	0
122	1495
23	37
467	272
137	0
24	0
0	2591
90	0
19	0
0	40
0	608
0	60
89	0
8	3
75	0
374	0
739	0
0	9
2	0
0	68
2	63
0	83
0	24
23	0
306	4
0	9
0	23
0	1
0	0
0	192
0	8
482	0
193	21
39	11
2	1
8	735
0	133
3	30
0	0
48	15
77	0
79	56
200	2
118	158
8	1
0	49
12	3
0	233
605	88
128	3
40	0
0	269
0	5
248	0
85	0
92	0
145	67
51	0
29	309
0	37
6	126
30	65
9	2
0	229
145	0
201	0
0	77
0	5
101	0
256	1239
0	77
0	64
83	0
0	401
79	0
0	28
0	47
30	0
0	37
1834	183
0	109
14	0
0	5
2	8
2	0
45	0
0	0
0	236
170	0
2	43
0	27
0	7
1	137
62	0
149	0
75	4
0	97
0	56
0	112
0	0
0	2
45	0
0	72
0	29
207	1
100	3
3	20
0	0
2	0
0	32
4	4
65	0
127	5
0	0
74	2
61	1
22	0
22	192
52	2
321	49
23	0
11	0
14	0
22	0
72	9
55	5
0	356
89	0
89	0
0	10
621	88
114	0
31	0
70	192
0	1
3	1
212	0
211	0
1	127
27	0
322	0
2	1
0	3
203	0
166	2
332	0
0	52
155	0
609	9
429	0
0	38
120	0
109	0
0	27
295	0
32	5
2	307
20	0
218	0
82	0
2	109
85	0
16	27
128	0
0	26
751	632
26	6
63	294
0	141
428	68
26	25
60	316
167	1
42	0
308	47
32	127
0	57
42	1008
2	22
96	20
0	725
13	24
21	15
76	550
378	124
13	60
0	181
98	880
248	109
53	78
0	127
0	20
363	185
53	550
78	307
0	17
52	120
0	3705
18	31
5	267
1136	105
41	699
2	131
58	66
13	119
0	34
147	32
0	175
0	181
0	74
259	120
99	137
410	849
2	65
196	169
0	494
78	164
0	517
62	48
24	242
6	38
180	117
285	308
4871	1239
0	1
77	156
0	171
81	13
69	299
42	43
17	42
0	10
0	5
383	0
5	5
98	0
201	0
14	0
36	0
30	0
922	16
1	0
46	0
95	45
94	0
0	20
98	75
5	3
54	0
243	20
214	0
104	0
0	215
0	3
0	0
0	32
28	0
185	356
26	0
187	169
345	1620
2	50
0	127
5	8
24	14
54	0
0	3
0	41
198	0
0	44
9	3
372	877
49	21
104	47
42	0
20	0
122	0
56	0
16	141
22	0
10	0
0	21
58	0
35	0
0	0
40	8
0	13
0	1068
2	0
0	2
8	0
190	15
2	3
183	227
0	341
89	34
174	0
328	0
0	5
450	0
31	0
1	180
39	0
81	0
635	261
11	0
609	0
0	1
1	270
0	19
256	0
0	2
0	31
12	0
33	0
0	342
0	56
0	341
324	4
0	194
0	45
0	498
0	3
0	16
503	110
0	69
0	92
0	25
383	0
0	57
142	168
545	38
46	5
46	90
0	86
5	1
0	0
9	0
0	5
171	20
126	658
0	99
0	0
19	38
165	0
28	3
7	0
0	10
53	67
18	0
114	0
0	5
0	7
88	0
105	406
0	54
7	95
0	0
0	9
4	0
6	5
0	171
23	4
10	9
71	0
42	5
59	48
13	0
3	0
0	28
0	1
75	0
82	19
0	17
0	3
10	0
30	26
1	0
47	10
102	0
0	48
0	0
23	9437
4	100
22	84
147	0
171	3936
0	133
0	95
222	0
60	14
0	5
0	47
0	0
0	5
6	0
202	0
46	0
235	0
421	244
204	498
144	0
0	56
290	3
171	47
53	0
157	0
25	0
33	0
222	0
74	0
0	0
227	0
31	41
0	7
2	0
126	5
0	155
0	139
39	93
103	0
22	0
0	173
260	176
184	120
0	197
0	137
0	21
2	203
126	31
54	270
25	68
8	19
41	148
9	5
1517	344
0	8
83	0
54	36
31	35
0	13
0	5
197	0
0	241
0	14
0	0
0	12
0	94
6	3
1	2
10	0
48	0
6	0
0	92
0	130
0	26
11	13
8	2
97	0
567	0
13	0
248	0
24	1
79	0
23	56
210	0
519	42
122	35
6	1
751	1
0	19
104	0
31	0
9	0
111	0
16	0
0	0
9	0
143	38
0	55
6	126
23	0
261	0
0	73
32	0
96	28
3	0
64	27
39	57
0	35
0	94
814	0
0	69
24	0
0	10
7	5
0	115
4	0
0	1
490	0
24	0
0	5
20	25
4	0
0	0
34	0
2	0
0	54
32	1
0	28
0	258
42	0
4	5
0	131
0	22
0	0
0	56
0	50
29	0
18	0
0	155
0	0
5	0
48	5
0	22
2	68
0	2
48	0
14	25
0	0
83	269
11	5
0	10
0	3
13	41
0	365
21	67
47	0
9	0
11	267
25	34
0	31
204	218
325	130
6266	658
71	209
120	42
0	71
4	5
2640	294
0	168
0	54
21	74
25	0
72	293
9	27
11	0
0	10
19	229
1393	12
3	180
37	0
0	14
148	0
76	1
40	0
318	0
33	1
89	0
14	91
0	156
203	0
101	25
25	25
204	0
4	26
0	45
413	0
607	65
0	4
328	9
363	0
0	12
100	0
216	0
585	155
0	0
65	0
309	0
193	0
59	383
74	0
154	10
28	9
0	51
17	0
10	10
0	30
5	0
0	14
3	54
0	0
94	105
0	26
185	0
5	0
2	3
663	0
0	231
1454	0
204	0
260	0
1103	0
14	14
0	31
65	0
4	181
14	22
0	73
2	0
0	7
0	48
217	0
690	0
0	24
52	0
0	45
0	40
1	146
279	222
372	0
580	222
162	0
29	105
0	63
0	167
168	0
167	23
307	0
0	281
0	195
0	49
0	20
0	0
100	30
456	0
79	80
43	0
0	114
0	8
59	24
86	0
0	134
46	16
184	0
41	0
469	9
148	0
0	21
55	48
311	42
46	0
47	1643
948	0
0	347
11815	1643
0	60
178	38
29	0
6	38
32	0
0	98
0	27
0	24
0	1
116	0
1632	368
101	1
450	0
78	5
0	102
997	182
0	0
66	0
0	49
305	368
0	18
378	0
0	627
41	0
15	0
2	0
0	0
301	0
22	0
0	37
214	4
245	3
5	16
496	21
8	20
1	42
20	0
0	43
0	575
0	2604
90	102
54	0
60	0
112	9
0	0
0	1
140	0
0	54
30	2596
0	151
0	152
0	139
162	0
24	0
59	0
170	0
11	195
0	4
4	0
0	23
641	0
