UniqueCount	AmbigCount
3	165
456	19
0	32
0	54
0	4
0	1
0	0
0	1
3	23
0	43
15	0
1	0
202	35
0	9
76	0
64	8
0	5
328	0
0	1
0	53
6	33
0	25
0	0
0	61
3	0
87	10
20	0
0	2
33	19
0	109
0	8
0	101
0	19
404	0
0	182
0	1
4	1
6	0
23	17
27	2
12	0
4	8
0	12
71	0
0	0
166	0
0	15
31	31
114	9
0	2
0	95
60	122
10	161
25	31
0	65
0	2
0	13
29	17
15	82
0	51
31	5
164	2
73	19
0	10
1	3
55	0
592	717
0	20
18	4
2	25
84	0
119	2
0	4
0	39
3	0
153	1892
162	0
0	11
1	18
50	196
78	22
20	11
52	139
258	0
0	0
151	0
60	12
0	19
3	0
0	10
43	0
45	0
0	0
34	0
11	8
2	15
383	0
11	15
50	24
16	7
0	9
142	0
0	80
3	0
0	3
123	0
16	233
464	2827
0	427
0	8
0	102
1104	0
0	2
3	0
0	167
0	109
85	0
55	0
85	0
3	2
151	0
0	19
0	12
77	205
185	1193
0	11
0	964
405	1059
24	13
4	216
46	19
706	0
5	5
0	359
4	30
51	17
156	0
53	0
171	0
29	0
82	0
0	31
2	16
0	176
166	0
4	2
21	0
52	0
849	0
472	0
2269	0
0	29
5	717
6	15
0	0
0	7
0	33
0	122
0	58
0	27
71	24
309	0
21	0
0	16
23	0
15	1
5	418
42	30
135	0
0	22
0	60
198	61
1	165
150	176
2	211
3	10
85	0
0	2
0	115
1	0
287	0
0	22
137	0
0	0
106	35
0	5
2	0
0	23
268	0
12	13
2	10
8	0
5	35
39	0
0	19
116	0
243	0
420	4
67	0
0	25
68	0
200	0
0	1
0	14
23	23
52	0
17	57
57	0
0	114
22	26
0	11
0	53
0	27
0	25
0	44
632	1096
40	0
42	0
59	0
12	255
120	1429
0	0
11	0
0	17
17	0
146	0
14	149
4	0
754	217
5	0
96	0
0	5
3	57
87	50
0	20
41	0
44	0
0	61
279	0
0	64
1839	1
122	21
123	0
804	189
42	0
341	0
0	24
0	131
224	0
1	0
49	0
36	217
1	91
28	9
594	0
796	0
48	30
157	0
50	0
751	3
