"","Name","BM_csl4ph_pBM5_1","BM_csl4ph_pBM5_2","BM_csl4ph_pBM5_3","BM_csl4ph_pBM766_1","BM_csl4ph_pBM766_2","BM_csl4ph_pBM766_3","BM_enp1_1_pBM5_1","BM_enp1_1_pBM5_2","BM_enp1_1_pBM5_3","BM_enp1_1_pBM766_1","BM_enp1_1_pBM766_2","BM_enp1_1_pBM766_3","BM_WT_pBM5_1","BM_WT_pBM5_2","BM_WT_pBM5_3","BM_WT_pBM766_1","BM_WT_pBM766_2","BM_WT_pBM766_3"
"1","CUT001",0,0,0,0,0,0,12.3517,0,0,0.643187,0,0.00131318,0,0,2.47034,1.69507,0.569012,1.89025
"2","CUT002",62.8331,110.625,54.6178,103.561,84.8087,63.7366,37.7664,42.7243,27.7982,21.9824,27.9256,24.7832,20.8825,19.9348,9.94389,11.9494,12.9432,14.9273
"3","CUT003",19,15,18,19,30,39,43,34,29,5,18,8,2,2,0,3,6,2
"4","CUT004",38.5292,34.9979,40.1501,62.2055,69.8037,47.8014,21.4162,28.8533,30.984,18.9225,38.8881,23.1266,16.8979,15.3794,11.4257,9.68778,17.7754,9.97304
"5","CUT005",50.6049,53.9165,44.0564,51.0318,63.5133,56.5334,31.3114,24.1967,12.6808,19.8964,16.5131,11.6457,12,6,9.92259,11.909,15.9381,7.71328
"6","CUT006",55,65,81,83,28,51,61,86,93,68,74,96,59,57,55,60,45,50
"7","CUT007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","CUT008",89,120,101,110,32,39,6,13,11,8,1,4,2,3,2,3,6,5
"9","CUT009",38.6282,36.4378,41.3012,136.457,79.6934,105.118,81.4253,129.679,92.8263,52.8547,69.5229,54.4624,11.9452,3.8725,4.79506,11.7904,11.7107,15.8911
"10","CUT010",82.3244,105.368,117.307,92.8684,38.3851,41.2659,65.9044,115.91,92.5406,65.4038,54.0178,87.2232,96.8238,82.1138,82.0987,92.2438,76.2728,98.3221
"11","CUT011",0,0,0,0,0,0,0,0,0,0,0,13.177,31.8506,16.8462,22.4217,15.095,21.2416,0
"12","CUT012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","CUT013",5.32692,17.0616,7.6936,17.563,22.6859,9.45969,0.715619,1.59951,3.35781,0,0,2.08291,0.334099,1.46202,0,2.07817,0,0
"14","CUT014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","CUT015",81,104,80,112,121,94,60,53,30,16,32,33,11,15,5,5,9,3
"16","CUT016",99.2835,135.324,112.077,127.656,125.817,86.4199,85.1888,49.1605,42.8446,50.144,78.1342,74.3266,91.5382,98.7305,87.7305,70.6392,65.9324,79.0141
"17","CUT017",155.465,226.278,223.268,189.999,234.22,239.765,44.381,36.7917,15.206,0,32.898,0,0,0,0,0,0,0
"18","CUT018",47.3533,29.9904,51.5374,56.8964,22.2884,28.9414,38.7967,40.768,37.421,42.2272,56.4394,46.1904,30.3479,22.0975,34.7859,25.9733,30.9382,24.0849
"19","CUT019",0,0,0,0,0,2.60128e-07,0,0,0,0,0,0,0,0,0,0,0,0
"20","CUT020",17.6279,25.9221,15.3581,17.4687,32.0888,42.9947,18.6366,11.7769,18.9184,4.43327,18.8973,15.9059,10.0488,0,29.0265,25.5811,9.44331,19.3994
"21","CUT021",141.509,152.922,179.71,162.141,112.192,120.118,190.532,253.041,232.577,174.079,215.244,241.798,187.872,134.763,182.297,127.158,151.48,173.087
"22","CUT022",141.957,207.275,220.98,214.213,186.304,240.224,249.568,210.144,188.382,166.3,342.696,281.103,193.588,184.679,244.154,148.763,160.814,213.876
"23","CUT023",10.9412,12.8256,21.4571,18.4571,13.973,6.89261,0,0,0,0,0,0,0,0,0,0,0,0
"24","CUT024",487.168,656.449,501.206,677.752,529.697,461.319,90.9622,82.5461,43.773,13,48.9243,34,7,4,0.924345,8,5,1.92434
"25","CUT025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","CUT026",415.546,565.704,552.526,618.282,637.173,511.502,339.685,360.337,274.96,235.491,593.074,364.667,220.271,203.931,239.473,256.601,227.912,319.253
"27","CUT027",0,0,0,2.00724e-06,19.871,0,0,0,4.15147,0,3.19559,0,0,0,0,0,0,0
"28","CUT028",0.0128938,86.9191,34.6723,50.0937,66.2425,77.4124,0,0,0,0,0,0,0,0,0,0,0,0
"29","CUT029",170.657,214.054,184.542,187.142,130.04,123.233,13.1812,29.3179,11.18,0,5.36634,15.5331,1.32642e-08,0,1.36039,0.656004,0,0
"30","CUT030",358.241,499.995,491.003,532.64,713.829,549.45,181.822,159.2,140.568,61.3889,136.159,113.498,40.8904,44.1708,39.4687,38.2379,25.7612,45.1661
"31","CUT031",0,7.21664,15,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4
"32","CUT032",55.6079,62.6126,75.6301,52.3425,32.8655,45.581,58.6617,89.7099,78.3622,58.9301,96.4842,107.814,82.8933,61.8548,84.806,57.7257,58.7983,85.7347
"33","CUT033",109.151,142.909,108.005,85.4967,124.011,78.9102,17.2645,21.2494,12.509,20.0989,12.1349,11.76,22.2775,9.89153,14.6238,17.869,5.67885,22.4627
"34","CUT034",40.5203,63.4864,41.8104,24.6255,49.878,36.6616,36.3845,20.3607,10.6017,10.9394,3.63778,13.0476,5.81889,8.78282,3.30085,0,4.10822,0
"35","CUT035",2.43795,16.8753,10.7372,15.6004,19.3624,11.8052,6.11724,4.32376,8.80569,3.54495,6.10778,3.56323,0,0.728271,0.76369,1.10896,9.24198,1.55974
