GeneID,Chr,Start,End,Strand,Length,HI.3202.005.Index_10.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d2.bam,HI.3202.005.Index_11.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d3.bam,HI.3202.005.Index_1.BM_Ctrl.NAB2.PrA.CSL4.URA.d1.bam,HI.3202.005.Index_20.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d1.bam,HI.3202.005.Index_21.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d2.bam,HI.3202.005.Index_22.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d3.bam,HI.3202.005.Index_23.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d1.bam,HI.3202.005.Index_25.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d2.bam,HI.3202.005.Index_27.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d3.bam,HI.3202.005.Index_3.BM_Ctrl.NAB2.PrA.CSL4.URA.d2.bam,HI.3202.005.Index_8.BM_Ctrl.NAB2.PrA.CSL4.URA.d3.bam,HI.3202.005.Index_9.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d1.bam,HI.3758.002.Index_12.BM.MO_dpl.enp1.37C.30.3.1.bam,HI.3758.002.Index_13.BM.MO_dpl.enp1.37C.30.3.2.bam,HI.3758.002.Index_14.BM.MO_dpl.enp1.37C.90.4.1.bam,HI.3758.002.Index_15.BM.MO_dpl.enp1.37C.90.4.2.bam,HI.3758.002.Index_18.BM.MO_dpl.enp1.37C.180.5.1.bam,HI.3758.002.Index_19.BM.MO_dpl.enp1.37C.180.5.2.bam,HI.3758.002.Index_2.BM.MO_dpl.CSL4ph.37C.30.1.1.bam,HI.3758.002.Index_4.BM.MO_dpl.CSL4ph.37C.30.1.2.bam,HI.3758.002.Index_5.BM.MO_dpl.enp1.25C.2.1.bam,HI.3758.002.Index_6.BM.MO_dpl.enp1.25C.2.2.bam,HI.3758.004.Index_21.BM.MO_dpl.srm1.37C.30.7.1.bam,HI.3758.004.Index_22.BM.MO_dpl.srm1.37C.30.7.2.bam,HI.3758.004.Index_25.BM.MO_dpl.srm1.37C.90.8.1.bam,HI.3758.004.Index_27.BM.MO_dpl.srm1.37C.90.8.2.bam,HI.3758.004.Index_8.BM.MO_dpl.srm1.25C.6.1.bam,HI.3758.004.Index_9.BM.MO_dpl.srm1.25C.6.2.bam,HI.4535.001.Index_13.CA_Dis3.1.4.bam,HI.4535.001.Index_16.CA_Rrp6.delta.5.bam,HI.4535.001.Index_18.CA_Rrp6.delta.6.bam,HI.4535.001.Index_2.CA_WT.1.bam,HI.4535.001.Index_4.CA_WT.2.bam,HI.4535.001.Index_7.CA_Dis3.1.3.bam
CUT4318,I,51567,52074,-,508,606,583,536,497,435,495,361,528,579,690,650,455,1242,1248,1234,1067,675,742,936,805,954,948,764,669,737,686,842,790,345,446,406,650,529,455
SUT436,I,191617,192201,-,585,35,18,6,173,148,157,127,165,187,16,6,36,43,33,32,30,31,22,130,130,8,1,16,14,9,12,7,10,52,46,38,30,26,67
SUT435,I,33076,34380,-,1305,730,746,272,1750,1556,1743,1690,2043,2424,333,246,606,1415,1204,1844,1677,981,1064,1816,1595,605,668,299,281,475,394,304,338,640,878,742,261,197,702
XUT_1F-25,I,44998,45496,+,499,80,110,8,1225,1171,1126,1173,1615,1748,17,19,86,415,444,802,640,468,429,844,771,74,87,79,85,156,152,60,65,428,199,201,14,28,526
XUT_1F-23,I,43128,44991,+,1864,1009,1057,146,7054,6055,6088,6309,7986,8963,171,177,829,2948,2847,4427,3615,2476,2458,5332,4835,690,643,772,686,1153,1079,578,574,2373,1207,1068,185,175,2564
XUT_1F-32,I,68697,69663,+,967,611,597,116,3857,3295,3436,3317,4215,4667,137,142,445,2162,1920,1858,1503,983,920,3982,3589,410,408,1141,947,1736,1665,202,201,1350,691,544,69,46,1465
XUT_1F-14,I,27075,28174,+,1100,165,223,105,1006,921,934,864,1085,1133,130,137,174,1082,1104,1811,1561,911,826,955,954,337,327,161,143,211,217,277,271,496,494,504,137,140,548
XUT_1F-12,I,24814,25521,+,708,135,122,48,658,551,516,563,637,774,75,57,97,620,532,1009,854,477,493,524,479,142,124,98,91,145,119,125,116,288,227,229,69,61,300
XUT_1F-11,I,24352,24705,+,354,97,89,18,442,406,345,390,465,560,24,25,69,183,198,485,371,220,255,361,382,57,59,46,35,65,68,75,49,179,158,142,37,20,177
CUT3815,I,15510,17105,-,1596,11,11,0,130,126,107,231,304,385,7,1,3,26,24,36,23,56,41,122,61,0,6,25,39,30,34,9,2,66,55,66,35,25,80
XUT_1F-15,I,30017,30860,+,844,91,125,9,342,324,341,419,579,611,7,12,54,68,68,157,136,114,108,385,314,31,27,51,43,104,65,39,36,241,252,299,19,21,266
XUT_1F-4,I,13727,16710,+,2984,529,554,177,2862,2706,3176,3040,3480,3397,168,191,348,2537,3071,5377,5576,2929,3287,3027,2386,589,868,303,238,325,281,589,595,1496,1363,1255,290,266,1383
XUT_1F-3,I,13123,13701,+,579,186,228,121,934,779,866,824,911,1047,138,142,158,1323,1390,2102,1763,937,990,907,716,279,287,159,109,168,139,282,228,341,346,356,97,85,333
XUT_1F-1,I,11270,11785,+,516,63,56,20,234,204,228,213,266,387,32,32,47,294,306,500,437,271,248,275,202,61,53,59,30,54,36,64,64,84,116,137,27,20,127
