GeneID,Chr,Start,End,Strand,Length,HI.3202.005.Index_10.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d2.bam,HI.3202.005.Index_11.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d3.bam,HI.3202.005.Index_1.BM_Ctrl.NAB2.PrA.CSL4.URA.d1.bam,HI.3202.005.Index_20.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d1.bam,HI.3202.005.Index_21.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d2.bam,HI.3202.005.Index_22.BM_shift90.NAB2.PrA.CSL4pH.URA.37C.d3.bam,HI.3202.005.Index_23.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d1.bam,HI.3202.005.Index_25.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d2.bam,HI.3202.005.Index_27.BM_shift3h.NAB2.PrA.CSL4pH.URA.37C.d3.bam,HI.3202.005.Index_3.BM_Ctrl.NAB2.PrA.CSL4.URA.d2.bam,HI.3202.005.Index_8.BM_Ctrl.NAB2.PrA.CSL4.URA.d3.bam,HI.3202.005.Index_9.BM_Bfshift.NAB2.PrA.CSL4pH.URA.25C.d1.bam,HI.3758.002.Index_12.BM.MO_dpl.enp1.37C.30.3.1.bam,HI.3758.002.Index_13.BM.MO_dpl.enp1.37C.30.3.2.bam,HI.3758.002.Index_14.BM.MO_dpl.enp1.37C.90.4.1.bam,HI.3758.002.Index_15.BM.MO_dpl.enp1.37C.90.4.2.bam,HI.3758.002.Index_18.BM.MO_dpl.enp1.37C.180.5.1.bam,HI.3758.002.Index_19.BM.MO_dpl.enp1.37C.180.5.2.bam,HI.3758.002.Index_2.BM.MO_dpl.CSL4ph.37C.30.1.1.bam,HI.3758.002.Index_4.BM.MO_dpl.CSL4ph.37C.30.1.2.bam,HI.3758.002.Index_5.BM.MO_dpl.enp1.25C.2.1.bam,HI.3758.002.Index_6.BM.MO_dpl.enp1.25C.2.2.bam,HI.3758.004.Index_21.BM.MO_dpl.srm1.37C.30.7.1.bam,HI.3758.004.Index_22.BM.MO_dpl.srm1.37C.30.7.2.bam,HI.3758.004.Index_25.BM.MO_dpl.srm1.37C.90.8.1.bam,HI.3758.004.Index_27.BM.MO_dpl.srm1.37C.90.8.2.bam,HI.3758.004.Index_8.BM.MO_dpl.srm1.25C.6.1.bam,HI.3758.004.Index_9.BM.MO_dpl.srm1.25C.6.2.bam,HI.4535.001.Index_13.CA_Dis3.1.4.bam,HI.4535.001.Index_16.CA_Rrp6.delta.5.bam,HI.4535.001.Index_18.CA_Rrp6.delta.6.bam,HI.4535.001.Index_2.CA_WT.1.bam,HI.4535.001.Index_4.CA_WT.2.bam,HI.4535.001.Index_7.CA_Dis3.1.3.bam
YDL248W,IV,1802,2953,+,1152,448,474,199,805,777,777,746,916,1039,234,279,364,391,434,890,743,545,543,1108,941,273,339,325,270,463,444,269,296,565,1395,1324,479,398,627
YDL247W-A,IV,3762,3836,+,75,14,19,0,52,65,55,39,45,52,1,1,3,21,18,53,55,29,23,54,32,8,14,18,11,20,21,16,10,18,52,50,5,2,26
YDL247W,IV,5985,7814,+,1830,13,25,1,72,86,79,66,60,108,11,5,11,60,47,68,63,48,42,80,63,11,18,28,34,40,40,8,12,40,77,75,12,5,33
YDL246C,IV,8683,9756,-,1074,10,11,6,30,30,33,25,33,27,1,3,10,12,5,6,3,1,3,38,60,5,4,72,47,68,54,9,7,8,2,1,1,3,2
YDL245C,IV,11657,13360,-,1704,0,1,0,11,17,9,16,12,80,2,0,0,9,7,6,3,0,8,38,13,0,0,13,6,16,18,3,0,5,5,1,2,0,2
YDL244W,IV,16204,17226,+,1023,47,45,19,123,132,145,149,186,269,44,35,45,32,29,27,14,21,17,163,83,12,18,42,41,33,38,33,41,48,27,25,52,55,44
YDL243C,IV,17577,18566,-,990,315,303,218,1580,1413,1472,1295,1684,1807,276,261,257,1179,1078,1498,1126,586,660,1372,1240,320,327,825,809,1178,1210,550,515,379,280,295,301,233,371
YDL242W,IV,18959,19312,+,354,8,4,4,18,21,15,18,14,32,9,14,5,95,92,151,112,85,98,20,33,24,29,55,69,49,49,7,9,9,4,1,9,13,8
YDL241W,IV,20635,21006,+,372,541,564,222,513,477,489,584,751,794,214,212,383,77,112,140,90,89,94,252,223,225,252,212,217,172,144,225,198,74,263,216,483,388,102
YDL240C-A,IV,22471,22608,-,138,5,3,0,7,6,3,9,18,8,2,0,2,22,8,15,15,6,4,7,7,1,1,8,4,6,4,1,0,5,3,1,0,0,1
YDL240W,IV,22823,25876,+,3054,1730,1856,967,1659,1460,1578,1483,1849,2185,1168,1292,1398,2935,3098,4227,3944,3742,3602,2986,2423,3698,4277,2040,2068,1778,1766,3170,3398,1345,1263,1303,997,761,1527
YDL239C,IV,26403,28775,-,2373,586,608,312,3577,3273,3470,2976,4179,4655,344,352,425,3786,4027,6533,5820,3317,3422,3672,3116,969,911,1618,1666,1279,1311,1062,1039,2193,1319,1325,487,370,2526
YDL238C,IV,28985,30454,-,1470,768,810,580,3567,3242,3388,2724,3529,3925,724,724,570,5624,5447,7711,6533,3386,3573,3443,3105,981,931,2317,2183,1934,1856,1276,1143,1840,1117,1154,794,611,2105
YDL237W,IV,30657,31829,+,1173,1885,1965,1812,1433,1276,1369,918,1199,1314,2183,2333,1455,2581,2657,2670,2269,1764,1583,2887,2561,2076,2311,595,517,738,735,2730,2603,1100,1391,1382,2283,1865,1236
YDL236W,IV,32296,33234,+,939,2577,2819,2065,1618,1313,1361,934,1152,1300,2363,2540,2049,2603,2738,3524,2918,2787,2488,2576,2472,3504,3919,1406,1339,2071,2010,3685,3560,1390,2582,2568,1910,1754,1559
YDL235C,IV,33415,33918,-,504,833,891,545,1127,1051,1095,901,1318,1484,616,738,654,1105,1201,1860,1592,1829,1740,1731,1588,1166,1287,1206,1230,1156,1295,1357,1430,976,1598,1608,1468,1173,1037
YDL234C,IV,34237,36477,-,2241,4460,4595,5069,7222,6352,6602,5656,7570,8366,5882,6337,3413,5260,5410,5792,4922,3673,3422,8535,7629,2919,3338,9812,9493,9980,9849,2208,2111,3777,5221,5178,12240,9787,4542
YDL233W,IV,36797,38173,+,1377,931,917,836,1100,1011,990,964,1219,1321,1189,1079,710,1808,1757,2396,1919,1454,1402,1747,1420,946,1090,2067,2025,1579,1420,908,827,832,1177,1102,1407,1096,864
YDL232W,IV,38487,38597,+,111,367,380,402,304,282,269,214,303,363,327,400,274,337,351,572,449,424,427,514,418,458,511,372,326,256,258,555,547,205,311,305,384,314,237
YDL231C,IV,38867,42244,-,3378,2141,2184,1514,7227,6122,6615,5275,7113,7768,1686,1792,1719,8057,7783,14603,12537,11129,11019,7697,6817,3947,4312,5464,4829,7352,7001,4628,4558,5133,5188,5255,2324,1816,5799
YDL230W,IV,42700,43707,+,1008,599,585,584,858,706,720,660,789,913,748,698,503,1498,1464,1505,1132,771,781,1164,1049,989,973,2520,2062,1938,1718,1194,1128,505,606,575,666,537,531
YDL229W,IV,44065,45906,+,1842,123531,125473,78450,34903,29853,31391,17962,22539,25607,98424,94364,97386,38356,37346,54127,43154,43200,43622,43109,40757,122845,119689,35162,31402,32151,30344,104090,98956,23078,60118,56486,51432,41897,25954
YDL228C,IV,45277,45918,-,642,69,87,52,31,15,23,10,22,12,79,49,47,146,98,106,55,86,74,63,54,186,224,98,91,94,90,212,214,25,65,45,31,51,27
YDL227C,IV,46271,48031,-,1761,1544,1660,1526,560,536,502,336,425,469,1782,1887,1259,1021,1068,2524,2111,2679,2661,550,555,3631,3588,772,704,1307,1287,4185,3968,1937,88,64,339,248,2148
YDL226C,IV,51115,52173,-,1059,3078,3126,2267,2169,1752,1868,1553,2087,2202,2954,2729,2333,3833,3638,5071,4138,2988,3090,2697,2401,3772,3682,2792,2460,2841,2676,4625,4501,1670,2525,2490,2459,2093,1901
YDL225W,IV,52445,54100,+,1656,2270,2238,1919,1790,1535,1637,1249,1757,1897,2002,2274,1742,2326,2458,3375,2933,2770,2744,3175,3148,2858,3183,2893,2711,2664,2667,3456,3414,1657,2241,2274,2486,1993,1798
YDL224C,IV,54397,56346,-,1950,2125,2257,1371,2008,1743,1907,1532,2109,2255,1666,1684,1691,4041,4020,4475,3818,3600,3571,3769,3375,3897,4073,5861,5378,3854,4137,4506,4312,1845,1797,1729,1749,1399,2052
YDL223C,IV,57265,60405,-,3141,1303,1420,846,3732,3343,3695,3488,4099,4511,1186,990,1063,62086,61215,12428,9953,2778,2763,10523,9376,1293,1389,12820,11571,14542,13524,2630,2618,1639,1262,1256,1607,1319,1667
YDL222C,IV,60872,61801,-,930,116,122,271,740,702,724,652,771,865,325,305,128,3566,3276,1655,1273,534,509,1596,1400,246,228,1675,1558,2203,2081,234,222,445,340,330,350,363,487
YDL221W,IV,62011,62562,+,552,80,81,19,437,423,440,425,596,602,30,24,60,178,167,184,164,75,87,357,310,38,34,120,82,116,106,51,59,200,42,34,40,36,229
YDL220C,IV,62244,65018,-,2775,923,1062,504,2432,2010,2365,2437,2843,3338,669,570,761,3542,3328,5038,4259,2422,2540,2005,1794,1219,1263,1828,1640,1739,1669,1724,1579,1403,1687,1475,812,674,1603
YDL219W,IV,65242,65306,+,65,11,20,6,22,23,18,29,63,42,8,17,14,6,11,22,31,59,46,32,35,17,30,2,6,5,2,25,22,44,100,82,113,94,56
YDL219W,IV,65378,65765,+,388,320,368,278,197,204,205,164,218,263,324,364,225,172,160,374,350,348,301,244,281,344,369,75,106,104,89,419,425,183,479,456,585,469,233
YDL218W,IV,66493,67446,+,954,56,59,55,95,101,78,110,104,130,64,51,35,133,127,192,150,72,91,116,77,89,75,346,301,457,363,118,118,51,47,38,44,56,70
YDL217C,IV,67983,68606,-,624,522,562,316,1141,1020,1000,925,1159,1447,455,404,434,1632,1490,2586,2135,1444,1373,1287,1164,777,788,1359,1166,1350,1254,973,908,649,785,742,505,390,705
YDL216C,IV,68997,70319,-,1323,303,289,359,570,549,559,519,617,816,354,428,213,1216,1300,1656,1464,873,861,879,802,649,675,2135,2113,1848,1914,521,578,408,326,351,510,474,436
YDL215C,IV,70640,73918,-,3279,2481,2508,2152,5131,4803,4846,3272,4544,4951,2465,2790,1964,7536,7792,8019,7443,8805,8729,12447,11087,3941,4373,9502,9591,10941,11269,3073,3026,5368,3881,3763,6304,4949,6211
YDL214C,IV,74446,76545,-,2100,139,139,73,1398,1191,1391,1386,1762,1908,88,87,92,1158,1132,2160,1868,1143,1047,913,847,152,115,5251,4950,7343,7125,213,186,486,1000,960,118,86,546
YDL213C,IV,77289,77966,-,678,2115,2195,1016,1713,1398,1535,1340,1699,1879,1274,1248,1587,1315,1234,2857,2139,2299,2226,1398,1349,2019,1869,1387,1241,2214,2094,2118,1971,1214,2007,1975,1408,1231,1281
YDL212W,IV,78426,79058,+,633,3263,3548,2527,2234,2015,2037,1256,1727,1848,2846,3113,2517,2339,2521,3189,2799,3281,2920,3318,3107,4250,4496,2206,2165,3237,3397,4145,4191,1740,2771,2465,3047,2314,2027
YDL211C,IV,79294,80412,-,1119,236,236,124,204,192,183,231,284,314,139,178,211,210,243,509,473,299,350,211,156,449,447,377,344,196,166,554,569,130,246,224,115,113,131
tG(GCC)D1,IV,83548,83618,+,71,0,1,0,2,0,2,0,0,0,0,1,0,0,2,3,2,6,1,0,2,0,2,0,0,4,5,0,0,0,0,0,0,0,0
YDL210W,IV,84270,85985,+,1716,71,85,32,103,113,98,102,143,142,48,40,54,83,76,130,106,108,74,162,133,47,43,105,110,137,178,46,56,65,68,68,74,60,88
YDL209C,IV,86207,87226,-,1020,465,472,248,415,363,375,391,441,471,301,294,321,788,790,1188,978,836,750,520,505,674,663,818,843,1411,1259,668,643,370,495,485,300,230,410
YDL208W,IV,87512,87982,+,471,4268,4362,2856,1888,1560,1726,1108,1508,1633,3260,3355,3170,3231,3290,4254,3387,3996,3681,2830,2602,5653,5382,1978,1854,2884,2737,5267,5055,1853,3640,3556,2730,2160,2096
YDL207W,IV,88248,89864,+,1617,1322,1288,1078,1100,899,898,800,1047,1293,1227,1265,1088,2257,2270,2778,2390,2364,2226,1971,1692,2204,2222,4772,4229,4196,3823,2250,2129,1165,1419,1343,1238,1013,1274
YDL206W,IV,90176,92464,+,2289,287,307,250,785,647,683,667,994,1106,280,339,216,1036,1094,1164,1080,1148,1063,1934,1566,637,796,2749,2992,2008,2203,522,508,1000,792,810,973,783,1181
