gene	length	Ctrl	l_kb	rpm	rpkm
42	tG(GCC)D1	71	0	0.071	0	0
97	YDL159W-A	132	0	0.132	0	0
99	YDL159C-B	177	0	0.177	0	0
106	YDL152W	366	0	0.366	0	0
212	YDL062W	426	0	0.426	0	0
242	YDL034W	345	0	0.345	0	0
256	tA(AGC)D	73	0	0.073	0	0
275	YDL007C-A	258	0	0.258	0	0
328	tQ(UUG)D1	72	0	0.072	0	0
349	YDR053W	396	0	0.396	0	0
355	tR(UCU)D	72	0	0.072	0	0
402	tQ(UUG)D2	72	0	0.072	0	0
484	tQ(UUG)D3	72	0	0.072	0	0
513	YDR194W-A	153	0	0.153	0	0
616	YDR278C	318	0	0.318	0	0
617	tE(CUC)D	72	0	0.072	0	0
691	YDR340W	303	0	0.303	0	0
701	tM(CAU)D	73	0	0.073	0	0
707	YDR354C-A	144	0	0.144	0	0
731	YDR371C-A	105	0	0.105	0	0
788	tS(AGA)D3	83	0	0.083	0	0
797	YDR426C	378	0	0.378	0	0
817	tK(CUU)D2	73	0	0.073	0	0
885	tL(CAA)D	38	0	0.038	0	0
906	YDR524W-C	90	0	0.09	0	0
924	YDR537C	606	0	0.606	0	0
930	YDR543C	300	0	0.3	0	0
933	YDR545C-A	480	0	0.48	0	0
934	YOL166W-A	156	0	0.156	0	0
935	YOL166C	339	0	0.339	0	0
941	YOL161C	363	0	0.363	0	0
948	YOL155W-A	135	0	0.135	0	0
1003	tT(AGU)O1	73	0	0.073	0	0
1063	tG(GCC)O1	71	0	0.071	0	0
1077	YOL046C	675	0	0.675	0	0
1109	tY(GUA)O	39	0	0.039	0	0
1110	tY(GUA)O	36	0	0.036	0	0
1118	YOL013W-B	291	0	0.291	0	0
1149	tT(AGU)O2	73	0	0.073	0	0
1150	YOR011W-A	207	0	0.207	0	0
1299	YOR142W-B	1305	0	1.305	0	0
1301	YOR142W-A	1323	0	1.323	0	0
1332	YOR170W	306	0	0.306	0	0
1404	YOR231C-A	201	0	0.201	0	0
1469	tA(UGC)O	73	0	0.073	0	0
1475	YOR293C-A	150	0	0.15	0	0
1499	YOR314W	330	0	0.33	0	0
1572	YOR376W	369	0	0.369	0	0
1590	YOR392W	444	0	0.444	0	0
1591	YOR393W	1314	0	1.314	0	0
